HIAT,GAT,Transkript,Korpus,Meta,HTML,Data,Fix,Name,Anzeigename,Web?,Beschreibung,Parameter,Anmerkung,,,,,,,,,,,,,,,,,,,,,
,,x,,x,,ComaData,0,AddCSVMetadataToComa,Metadaten aus CSV hinzufügen (COMA),j,Metadaten aus CSV automatisch in COMA integrieren,x,,,,,,,,,,,,,,,,,,,,,,
,,,,,,CmdiData,0,CmdiChecker,Metadatenprofil prüfen (CMDI),?,CMDI Metadaten für HZSK Repo werden geprüft,,,,,,,,,,,,,,,,,,,,,,,
,,,,x,,ComaData,1,ComaAddTiersFromExbsCorrector,Spuren auslesen & hinzufügen (COMA),j,Aus den EXB werden die Spuren ausgelesen und in der COMA hinterlegt,,,,,,,,,,,,,,,,,,,,,,,
,,,x,,,ComaData,1,ComaApostropheChecker,Apostrophe prüfen & ersetzen (COMA),j,Falsche Apostrophe werden ersetzt,,,,,,,,,,,,,,,,,,,,,,,
,,,x,,,ComaData,0,ComaChartsGeneration,HTML-Diagramme erzeugen (COMA),j,Erstellt eine sortier- und filterbare HTML Übersicht,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ComaData,0,ComaFedoraIdentifierLengthChecker,,n,Check von IDs für HZSK Fedora PID-Limits =>,,obsolet?,,,,,,,,,,,,,,,,,,,,,
,,,,,,ComaData,0,ComaFileCoverageChecker,Vorhandensein referenzierter Dateien prüfen (COMA),j,Prüft ob alle referenzierten Dateien vorhanden sind,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ComaData,0,ComaFilenameChecker,,n,Prüft auf Link und Dateinamen für HZSK Repo,,obsolet?,,,,,,,,,,,,,,,,,,,,,
,,,,,,ComaData,1,ComaKmlForLocations,,n,Fügt zu Locations (Metadaten) die GEO-Koordinaten durch Google-API hinzu,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ComaData,0,ComaNSLinksChecker,Vorhandensein verlinkter Dateien prüfen (COMA),j,Prüft ob alle verlinkten Dateien vorhanden sind,,,,,,,,,,,,,,,,,,,,,,,
,,,x,,x,ComaData,0,ComaOverviewGeneration,HTML-Übersicht erzeugen (COMA),j,Erstellt eine sortier- und filterbare HTML Übersicht,,,,,,,,,,,,,,,,,,,,,,,
,,x,x,,,ComaData,1,ComaSegmentCountChecker,Segmentzählung prüfen & erneuern (COMA),j,Prüft Segmentierungs-Algorythmen und bei fix zählt es die Segmente neu,,,,,,,,,,,,,,,,,,,,,,,
,,x,x,,x,ComaData,0,ComaTierOverviewCreator,HTML-Spurübersicht erzeugen (COMA),j,Erstellt eine sortier- und filterbare HTML Übersicht aller Tiers,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ComaData,0,ComaTiersDescriptionAnnotationPanelChecker,verwendete Annotationszeichen mit Annotationspanel vergleichen  (COMA),j,Prüft ob verwendete Annotationszeichen auch im Annotation Panel vorhanden sind,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ComaData,1,ComaTranscriptionsNameChecker,,n,"Prüfung, ob Dateinamen der EXB und EXS-Dateien übereinstimmen",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ComaData,0,ComaXsdChecker,,n,Prüft die COMA gegen XML-Schema; CLARIN-Schema für HZSK Repo,x,,,,,,,,,,,,,,,,,,,,,,
,,x,,,,BasicTranscriptionData,1,CorpusDataRegexReplacer,auf reguläre Ausdrücke prüfen & ersetzen (EXB),j,Prüft Dateien auf eventuell vorhandenen RegEx-Vorkommen,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ComaData,0,CorpusHTML,,n,Erstellt HTML Übersicht des Korpus für Repo-Ingest,,"obsolet, da für HZSKK Repo?",,,,,,,,,,,,,,,,,,,,,
,,x,,,,ComaData,0,DuplicateTierContentChecker,EXB-Dateien einzeln & auf Duplikate prüfen (EXB),j,Prüft alle verlinkten EXB-Dateien und prüft (auch annähern) nach Duplikaten,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ELANData,0,ElanPunctuationChecker,,n,"Prüft nach Punktwertungen, die Import in FLEX verhindern",,,,,,,,,,,,,,,,,,,,,,,
